line_name,date,year,month,day_of_year,weekday,pattern,observed_kwh,observed_mwh_per_day,log1p_kwh,tas_c_mean_7d,pred_target,pred_log1p_kwh,predicted_kwh,predicted_mwh_per_day,base_value,explanation_model,target
申安一回(483),2024-03-27,2024,3,87,2,Pattern 1,44236.56664908496,44.23656664908496,10.697329631272193,14.128571646554127,10.738911612427712,10.738911612427712,46114.83269490809,46.11483269490809,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申铁二回(465),2024-11-10,2024,11,315,6,Pattern 1,29392.6832667203,29.3926832667203,10.2885350753687,13.77857153756278,9.495076495245812,9.495076495245812,13293.11181157532,13.29311181157532,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙腾五回（459）,2024-08-27,2024,8,240,1,Pattern 1,12501.58167360957,12.50158167360957,9.43369043585397,32.81428609575544,8.92047996440962,8.92047996440962,7482.680268015056,7.482680268015056,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
红沙一回(459),2024-05-12,2024,5,133,6,Pattern 1,9928.818277079574,9.928818277079573,9.203297456476959,23.14999989100865,9.245449810455558,9.245449810455558,10356.330516476863,10.356330516476863,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
平贝线（456）,2024-04-29,2024,4,120,0,Pattern 1,41380.54324479101,41.38054324479101,10.630590245064989,19.74999945504325,10.095756068594852,10.095756068594852,24238.918272834995,24.238918272834994,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
周柳线(452),2024-09-29,2024,9,273,6,Pattern 1,30030.83963685369,30.03083963685369,10.310013419069548,26.721429007393972,9.56467476600376,9.56467476600376,14251.316957714975,14.251316957714975,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申纺三回(479),2024-09-09,2024,9,253,0,Pattern 1,69725.88277941676,69.72588277941676,11.152341215062874,27.14285687037877,10.850502808139813,10.850502808139813,51559.06966207678,51.55906966207678,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
凉青线（456）,2024-04-17,2024,4,108,2,Pattern 1,101.6442752898893,0.1016442752898893,4.6312693726929215,17.771428516932897,4.623743198832986,4.623743198832986,100.87465640391025,0.10087465640391025,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
三铁二回（462）,2024-01-20,2024,1,20,5,Pattern 1,20734.03214767221,20.73403214767221,9.939579923085462,7.549999986376081,5.256799926324139,5.256799926324139,190.86652084403315,0.19086652084403316,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
映登线(452),2024-04-01,2024,4,92,0,Pattern 1,22621.19789409576,22.62119789409576,10.026686910913366,18.328571319580078,10.448088705104087,10.448088705104087,34477.413278166765,34.477413278166765,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
