Daily temperature,3-day temperature,7-day temperature,15-day temperature,7-day Tmax,7-day Tmin,Diurnal temperature range,CDD24,HDD18,7-day CDD24,7-day HDD18,Built-up share,Natural/green share,Elevation,Population density,Residential share,Nearest industrial distance,NDVI p50,pattern
-0.0066367416,0.013189547,-0.036081705,-0.000942853,0.01695646,0.31430563,0.0051736925,-0.002859268,-0.0012483777,-0.0198849,-0.017716186,-0.0036450662,0.078524984,-0.025837427,0.14853889,0.21650761,0.17081723,0.016975516,Pattern 1
0.008125617,-0.00029766612,-0.013416733,-0.027158959,-0.022490222,-0.028382985,-0.026408901,-0.0039814813,0.023202365,0.0051607015,-0.003765523,-0.13254713,0.17011592,0.114564404,0.6210218,0.15505582,0.3460556,0.15776911,Pattern 1
0.036273737,0.05901927,0.06586288,0.016056646,0.043268465,0.15099789,0.003226746,0.0018357596,0.0012261473,0.0135398125,-0.0013951663,-0.031935092,-0.059713736,-1.4068223,0.05407529,-0.05287958,-0.312196,-0.3047656,Pattern 1
0.019399421,0.03263558,-0.00037298884,0.006709141,0.03261858,0.011382111,0.01812933,-0.005318937,0.0050606243,0.013032921,-0.0048107114,0.41733935,0.12089036,0.20009483,0.36970988,0.4585697,0.06370157,0.20224917,Pattern 1
0.0067346776,-0.019099522,-0.022722207,-0.014741634,-0.054409415,-0.012330812,0.009473279,-0.00067662,0.0008982614,-0.0029856947,-0.030319262,-0.08606277,0.106542096,-0.028878326,0.22252506,0.3002987,0.024843697,-0.13276397,Pattern 1
-0.0085308235,0.015219999,-0.03016954,-0.07453454,0.028627561,-0.40346557,-0.022045229,-0.0012534013,-0.00049122237,-0.015481557,0.053607166,0.2433812,-0.029504215,0.094963804,0.35001254,-0.043067645,-0.100851566,0.12006049,Pattern 1
0.006356436,0.011658572,0.003966501,0.052327607,0.02753341,0.0045177266,0.007831714,0.0018019942,-0.000116834024,0.024377609,0.00022197647,-0.12646256,0.11201443,-0.021767449,0.25872445,0.2503178,-0.0137482,-0.1335341,Pattern 1
0.009709898,0.0033956822,0.047354206,0.079351634,0.03448757,0.033923753,0.09193416,-0.004715055,0.0019423236,-0.002250421,0.060665555,0.17353985,0.02022288,0.15235318,0.31771746,0.31128404,0.013890185,0.02763706,Pattern 1
-0.011738071,0.00059804623,0.005007936,0.024490574,-0.02116314,-0.026853386,-0.004748338,0.0,-0.0034861986,-1.773638e-05,0.0019309276,-0.38387248,-0.08553011,-0.36623108,0.21956548,-1.333667,-0.15427507,-0.37916377,Pattern 1
0.07573017,0.06997213,-0.006891179,-0.008935097,-0.036608875,-0.0012597275,-0.1673677,0.003840877,0.0076211593,0.0017627993,0.18689103,-0.23594795,-0.096875116,0.020475436,0.30890626,-0.09114241,-0.07982435,0.049673412,Pattern 1
-0.016550587,-0.043196995,-0.053865526,-0.010912738,-0.0031462524,-0.0920506,-0.00079685193,-0.012130801,0.001109213,0.02136243,-0.0043973764,-0.59139574,-0.21781206,-0.32481277,-0.040366292,-0.5420118,-0.26069483,-0.19673358,Pattern 1
-0.023550875,0.008296983,-0.014082539,0.05496534,-0.02814981,0.03024224,0.003967106,-0.00044069492,-0.012985828,-0.01500368,0.01921256,0.06265886,0.06540164,0.10260388,0.4311005,0.2206294,0.30283284,-0.23245382,Pattern 1
-0.02248302,0.004114137,0.042767365,0.13327117,0.06619596,0.027870676,0.0022418408,7.035969e-05,-0.010802441,0.0033863585,0.06537773,0.14172786,0.16058126,0.20523503,0.8311927,0.24759139,0.32007104,0.2048674,Pattern 1
-0.009022573,-0.012473173,-0.017478809,0.057335265,-0.009186283,0.013102135,0.01340024,-0.0054963734,-0.00069833593,-0.020391302,-0.0088555515,0.10249848,-0.14610621,0.08481085,0.1499143,-0.5440789,-0.019370213,0.010783916,Pattern 1
0.031770203,-0.008392153,0.026997235,0.008042175,0.027009431,0.066144615,0.041475315,-0.0013390245,0.03369963,-0.003601904,-0.01509345,-0.0052132057,0.22901759,0.07291437,0.27688736,0.30395907,0.142691,0.10892066,Pattern 1
-0.1315283,-0.25325263,-0.03503753,-0.3904116,0.009202624,-0.054227993,-0.040799964,-0.002678762,-0.094792835,-0.0028628658,-0.029493446,0.10487452,-0.15004762,-0.016288444,0.061077286,-0.51593655,0.013074336,-0.061866935,Pattern 1
-0.029586896,-0.0113374675,0.02589687,0.12209006,0.027364505,0.05052857,-0.043694556,0.00046379346,-0.007583662,-0.023739908,-0.009734528,-0.16222882,-0.08868848,0.06564999,0.35253352,0.019490305,-0.07823501,-0.030765658,Pattern 1
-0.021847622,-0.035777543,-0.06722914,-0.09625993,0.010430468,-0.11094682,-0.025807532,0.009041986,-0.019714225,-0.017488556,-0.025850082,-0.082105726,0.13384366,0.0035569873,0.20129606,0.13068277,-0.08801352,0.013652027,Pattern 1
-0.05750625,-0.011346871,0.009441406,-0.020004973,0.048881825,-0.028739836,-0.17473026,-0.015326103,-0.021629268,-0.00067268516,-0.00040852232,-0.23282298,0.104249276,-0.004114723,0.07675302,-0.50967765,0.060523998,0.04483351,Pattern 1
0.0073985322,0.0014065343,0.005373,-0.054788604,0.011952277,-0.0596627,-0.05817496,0.0062823864,4.653597e-05,-0.012361552,-0.01476513,-0.13731869,-0.47634074,-0.3066566,0.2668269,-0.06515206,-0.48275188,-0.45862603,Pattern 1
0.01372108,-0.055648796,-0.014109765,0.21945536,0.003676173,-0.08715644,0.051774994,-0.0018602896,0.011247398,0.014553564,-0.0064075543,0.15557717,0.07764095,0.21303686,0.7452217,-1.128175,0.35859466,0.1397674,Pattern 1
-0.010113974,-0.021083971,-0.0064122286,-0.0014552731,-0.026427561,-0.026042173,0.0034593935,-0.0030337102,-0.003702521,-0.00041487542,-0.042358,0.007187428,-0.07806791,0.11339875,0.1299366,0.25246838,0.17639893,0.001886356,Pattern 1
0.0044417754,0.0534653,0.1274915,0.020578535,-0.06224151,0.054871682,0.005628578,0.0052154986,-0.0008503254,0.0590925,-0.00048483344,-0.108311884,-0.102659024,0.20264255,0.10877181,-0.37658694,0.135037,0.019318061,Pattern 1
-0.009568934,-0.015133416,-0.022339221,-0.009990433,0.0024986342,-0.02604122,0.011644334,-0.003655495,-0.0020725613,-0.009532368,0.021523047,0.4006522,0.05816834,0.428429,-0.5962312,-0.03429106,-0.13240358,-0.006674283,Pattern 1
-0.007254701,0.01968058,0.044464964,-0.046914518,0.04766856,-0.03129709,0.014931751,-0.0001010973,-0.0021574134,0.001547648,0.06714393,-0.4210863,-0.13267763,0.55174565,-0.9328997,-0.24454612,-0.13268538,-0.12813175,Pattern 1
0.03791289,0.01342556,0.0013052098,0.057321295,-0.01709218,0.0025122277,-0.015698865,-0.00026213884,0.03899255,-0.0009430676,0.0067418134,-0.2519234,-0.05266168,-0.054480292,-0.053323273,-0.4770563,-0.007346659,-0.059270374,Pattern 1
0.026357839,0.075680904,0.051169295,0.09822613,0.036949735,0.053870413,0.021757927,0.026812773,-0.0005563649,0.07628132,-0.003327667,-0.39412883,-0.1188881,0.6191543,-1.0646923,0.17828873,0.014125028,-0.07225082,Pattern 1
-0.012863923,0.022601323,0.046980057,0.16042244,0.02357206,0.07828845,0.008446231,-0.015968343,0.00021938025,0.020751616,0.019273562,-0.04017255,-0.07451271,0.10774561,0.51075274,0.0593932,-0.11668305,-0.016544525,Pattern 1
1.3459e-05,-0.00029151826,-5.9509002e-05,0.00033560087,-0.00015798413,-8.437359e-05,-1.269986e-05,-4.179264e-06,3.683901e-05,-9.0057865e-06,-0.00016105175,-0.36571082,-0.36960393,-1.713587,-1.3380578,-0.33175015,-0.26065037,-0.19071431,Pattern 1
-0.04401339,0.0083461525,0.040460683,0.07274766,-0.015262604,-0.05642639,0.03736918,0.009604323,-0.03441111,0.0038255677,0.27479842,-0.16881812,-0.13033359,0.18124676,-0.36975613,-0.40891725,0.16954218,-0.0019531413,Pattern 1
0.0011251813,0.008721242,0.054389548,0.10155323,0.038493883,0.078693315,0.0028966789,-0.00044935686,-0.0009268536,0.00463098,0.0035262408,0.45780987,0.030735755,0.24455304,0.3772549,0.4898849,0.07708954,0.10502064,Pattern 1
0.059454918,-0.045030665,0.059340566,-0.03794468,0.08789159,-0.015653936,0.03375409,0.0030631647,0.0025180397,0.00019088923,0.19522044,-0.23718125,-0.09512083,0.01770119,0.3086315,-0.08989543,-0.07709374,0.049926646,Pattern 1
0.032478996,-0.010078506,0.004606995,-0.018589497,0.03337234,-0.016246647,0.04214108,0.0,0.022868844,0.010017438,-0.038387205,-0.082891226,-0.09361711,0.037641395,0.42351916,-1.2624557,0.091478944,0.1288414,Pattern 1
0.0049176686,0.013939923,-0.0030755326,-0.21354407,-0.023949256,0.040711787,-0.024825308,-0.0033415544,0.004884977,-0.026217202,-0.03285198,0.02753777,0.30014536,0.059960525,0.18734388,0.27481613,0.13642338,0.089024305,Pattern 1
0.08055527,0.20663187,0.0410195,-0.0094427895,0.03219352,0.031110473,-0.0018898748,0.059723433,0.00030069833,0.008343706,-0.0030165059,-0.12613454,0.178132,0.12424176,0.63047963,0.17340493,0.3498247,0.16857532,Pattern 1
0.041919906,0.06606198,0.09044588,0.1504112,0.3347711,-0.12439464,-0.061444975,-4.1715226e-05,0.029228354,-0.0015769075,0.0834579,0.015104068,-0.042255946,-0.05389652,0.26642627,0.22081181,0.11252542,0.12792952,Pattern 1
-0.1502615,-0.24580033,-0.12092792,-0.24039319,-0.06462814,0.012801402,-0.08608661,-0.002678762,-0.13050964,0.0012180287,-0.020675192,0.1046881,-0.15114737,-0.020485729,0.0611278,-0.5156175,0.016470129,-0.06119155,Pattern 1
0.018214576,0.06273026,0.027554095,-0.01285918,-0.05090327,0.057415355,-0.004577407,-0.0009756173,0.01692441,-0.008598609,0.04710042,0.09944691,0.05878277,-0.004375516,0.2792365,0.20986335,0.116902515,0.06527281,Pattern 1
0.047093913,0.02535346,0.03428629,0.09907105,0.012675288,0.0518012,-0.0008140138,0.00055203895,0.029898673,0.0031653466,0.07704502,-0.0813494,0.08863313,-0.018509453,-0.0011905457,0.08656442,0.062297836,0.017072257,Pattern 1
0.025084333,-0.0049955794,0.03720376,0.09448628,-0.0049977233,-0.06583352,0.05189997,3.7422462e-05,0.015226644,-0.0027404565,0.13034035,0.66843146,0.115779124,0.42364904,-0.31340876,0.036153156,0.11216954,0.11005531,Pattern 1
-0.044554032,-0.08982448,-0.06320405,0.06482951,-0.09027893,-0.05399492,-0.038809523,-0.0015663297,-0.020805279,-0.006726292,-0.043383956,-0.13708949,-0.0326203,-0.11973912,0.5250385,0.3129832,0.010774124,0.110018596,Pattern 1
-0.007787859,-0.010999696,0.019428937,0.15167078,0.02101963,-0.052539013,0.06959847,0.0007224103,-0.0081106555,0.0014840871,0.030407004,-0.12500913,0.06676161,-0.24376425,-0.58382255,-0.02372078,0.28273952,0.19664367,Pattern 1
0.005673872,-0.00031529687,-0.04066647,-0.053839147,-0.023272667,-0.08638265,0.007064334,0.0028728948,-0.0007618819,0.009518478,-0.022701232,-0.12483199,0.06540526,-0.23934859,-0.582008,-0.021840775,0.28320384,0.198647,Pattern 1
-1.7347235e-18,1.7347235e-18,3.469447e-18,2.6020852e-18,-1.7347235e-18,-1.7347235e-18,4.3368087e-18,2.6020852e-18,8.6736174e-19,4.3368087e-18,-1.7347235e-18,-0.3932555,-1.0831666,-1.367921,-1.0165688,-0.29965654,-0.24678075,-0.15448251,Pattern 1
0.03660448,0.01764691,0.017311279,-0.111342534,0.065819725,-0.06058382,0.023960117,0.0023614687,0.0041828374,0.042564344,-0.0032448822,0.14489706,0.11816171,0.055472296,0.70080775,0.16577823,0.25596476,0.090566576,Pattern 1
0.09436788,0.09850415,0.10514237,-0.029349279,0.07090433,0.12247098,-0.005179476,0.025275767,0.025162786,0.080800526,0.0054672444,0.2613667,0.024318907,-0.13560914,0.28392556,0.027979003,0.067045,0.033058163,Pattern 1
0.032844935,0.15611498,0.06110771,-0.0988576,0.12081396,-0.05439024,-0.0027515737,0.023417233,-0.00046773965,0.026786396,-0.0059398273,-0.045036767,0.25007573,0.068564616,0.11058082,0.33092642,0.14936344,-0.052022874,Pattern 1
-0.011474736,-0.047536604,-0.0020376942,0.02575116,-0.026190503,-0.018404126,-0.00039229312,6.3202286e-05,-0.019154094,0.00089920097,-0.020919139,-0.16184837,-0.08556281,0.06788884,0.35684344,0.022080619,-0.075680174,-0.02756597,Pattern 1
0.011478981,0.026455684,0.002593754,-0.023130188,0.05212731,-0.009032913,0.0012388097,0.006418011,-2.1693564e-05,0.019036666,0.0019239666,-0.67342114,-0.14894691,0.01896244,0.23040728,0.029160962,-0.19966964,-0.68036014,Pattern 1
