pattern,temp7_c,temperature_effect_log1p,ridge_alpha,n_train,n_lines
Pattern 3,1.8447532993168028,0.0641103109893959,1.0,15719,11
Pattern 3,2.154480575526948,0.035578506404737344,1.0,15719,11
Pattern 3,2.464207851737093,0.007773850493873423,1.0,15719,11
Pattern 3,2.7739351279472375,-0.019366441764049797,1.0,15719,11
Pattern 3,3.0836624041573826,-0.04590300667814948,1.0,15719,11
Pattern 3,3.3933896803675276,-0.0718964805575426,1.0,15719,11
Pattern 3,3.7031169565776727,-0.09740681330777506,1.0,15719,11
Pattern 3,4.012844232787818,-0.12249497471604187,1.0,15719,11
Pattern 3,4.322571508997963,-0.14723691422270652,1.0,15719,11
Pattern 3,4.632298785208108,-0.1717185299026417,1.0,15719,11
Pattern 3,4.942026061418253,-0.19602614882105032,1.0,15719,11
Pattern 3,5.251753337628398,-0.2202460967832597,1.0,15719,11
Pattern 3,5.561480613838543,-0.24446519817805085,1.0,15719,11
Pattern 3,5.871207890048688,-0.2687701343244228,1.0,15719,11
Pattern 3,6.180935166258833,-0.2932472322875786,1.0,15719,11
Pattern 3,6.490662442468978,-0.317982819132721,1.0,15719,11
Pattern 3,6.800389718679123,-0.3430633096528929,1.0,15719,11
Pattern 3,7.110116994889268,-0.36857748731407164,1.0,15719,11
Pattern 3,7.4198442710994135,-0.3946099853703446,1.0,15719,11
Pattern 3,7.7295715473095585,-0.42124713088691446,1.0,15719,11
Pattern 3,8.039298823519703,-0.44857525092898404,1.0,15719,11
Pattern 3,8.349026099729848,-0.47668067256175634,1.0,15719,11
Pattern 3,8.658753375939993,-0.5056540525989878,1.0,15719,11
Pattern 3,8.968480652150138,-0.5355786600223679,1.0,15719,11
Pattern 3,9.278207928360283,-0.5665095047826313,1.0,15719,11
Pattern 3,9.587935204570428,-0.598387853078442,1.0,15719,11
Pattern 3,9.897662480780573,-0.6311272157482695,1.0,15719,11
Pattern 3,10.207389756990718,-0.6646437606889422,1.0,15719,11
Pattern 3,10.517117033200863,-0.6988484301828368,1.0,15719,11
Pattern 3,10.826844309411008,-0.7336537903461796,1.0,15719,11
Pattern 3,11.136571585621153,-0.7689733505868579,1.0,15719,11
Pattern 3,11.446298861831298,-0.8047206203127587,1.0,15719,11
Pattern 3,11.756026138041443,-0.8408099134292868,1.0,15719,11
Pattern 3,12.065753414251589,-0.8771537391008806,1.0,15719,11
Pattern 3,12.375480690461734,-0.9136649505531281,1.0,15719,11
Pattern 3,12.685207966671879,-0.950257057193917,1.0,15719,11
Pattern 3,12.994935242882024,-0.986843568431134,1.0,15719,11
Pattern 3,13.304662519092169,-1.0233375612214817,1.0,15719,11
Pattern 3,13.614389795302314,-1.0596518775260177,1.0,15719,11
Pattern 3,13.924117071512459,-1.0957002747224134,1.0,15719,11
Pattern 3,14.233844347722604,-1.1313938332650777,1.0,15719,11
Pattern 3,14.543571623932749,-1.166590338259329,1.0,15719,11
Pattern 3,14.853298900142894,-1.2010919230980348,1.0,15719,11
Pattern 3,15.16302617635304,-1.2346968786147772,1.0,15719,11
Pattern 3,15.472753452563184,-1.2672086047890503,1.0,15719,11
Pattern 3,15.782480728773328,-1.2984281597860987,1.0,15719,11
Pattern 3,16.092208004983473,-1.328156601771169,1.0,15719,11
Pattern 3,16.401935281193616,-1.356193081819023,1.0,15719,11
Pattern 3,16.711662557403763,-1.3823317119784289,1.0,15719,11
Pattern 3,17.021389833613906,-1.4063804440539531,1.0,15719,11
Pattern 3,17.331117109824053,-1.428140336210842,1.0,15719,11
Pattern 3,17.640844386034196,-1.4474124466143405,1.0,15719,11
Pattern 3,17.950571662244343,-1.4639969725933282,1.0,15719,11
Pattern 3,18.260298938454486,-1.4776810088230061,1.0,15719,11
Pattern 3,18.570026214664633,-1.4882784782273915,1.0,15719,11
Pattern 3,18.879753490874776,-1.4955904389717298,1.0,15719,11
Pattern 3,19.189480767084923,-1.4994179492411974,1.0,15719,11
Pattern 3,19.499208043295067,-1.4996433394662048,1.0,15719,11
Pattern 3,19.808935319505213,-1.496484066270223,1.0,15719,11
Pattern 3,20.118662595715357,-1.4902849763706911,1.0,15719,11
Pattern 3,20.428389871925503,-1.4813763159057736,1.0,15719,11
Pattern 3,20.738117148135647,-1.4700869393729523,1.0,15719,11
