scenario,period,line_name,pattern,model_count,baseline_gwh_mean,annual_counterfactual_gwh_mean,annual_change_gwh_mean,annual_change_gwh_p10,annual_change_gwh_p90,annual_change_pct_mean,annual_change_pct_p10,annual_change_pct_p90
ssp585,2030s,五汇线（463）,Pattern 2,33,1.3012536706981688,1.4043165094445953,0.1030628387464266,0.06713342317878997,0.14151285297104294,7.922508223920211,5.149457984132477,10.90515340948298
ssp585,2030s,五联一回（469）,Pattern 1,33,11.023337599310226,11.169547195984237,0.14620959667401026,0.11054049703701926,0.19074866214860642,1.3267747484646528,1.0012148098093323,1.743994563546377
ssp585,2030s,五联三回（484）,Pattern 1,33,31.79494760757828,32.260101052644636,0.46515344506635764,0.34684965048460814,0.5961910282605444,1.4635288170167255,1.0889054393979194,1.8942720144419434
ssp585,2030s,五联二回（471）,Pattern 1,33,20.32063481476183,20.603083498485567,0.2824486837237394,0.21240274588176516,0.3645875984851875,1.3904640508659871,1.0434401758581537,1.8101747733693119
ssp585,2030s,五茂一回（478）,Pattern 2,33,7.719238909389007,8.353546196442865,0.6343072870538583,0.4187745351380284,0.8687224286521437,8.220316219929531,5.426120166373297,11.229320118034344
ssp585,2030s,五药线（456）,Pattern 1,33,7.9129045441738945,8.04539822938029,0.13249368520639468,0.08766598392653926,0.18810414460940936,1.6750842142673121,1.106380459406347,2.389537735371982
ssp585,2030s,五郦三回（483）,Pattern 2,33,1.5522674111896406,1.6760021603208353,0.12373474913119466,0.08233438856005136,0.17485341535119384,7.973679262076871,5.307264699522904,11.274762141428381
ssp585,2030s,五长线（454）,Pattern 2,33,1.0940032757575757,1.1748622797090982,0.08085900395152239,0.0474798439126161,0.11245001374375131,7.393815086295216,4.339551980494981,10.391417453697558
ssp585,2030s,五长线（455）,Pattern 2,33,7.416603660729702,7.948417366253189,0.5318137055234868,0.3172019327307924,0.7314051449138878,7.173014439959161,4.267379063009613,9.958380796717291
ssp585,2030s,五陆线（459）,Pattern 1,33,13.346433656151271,13.538969109908072,0.1925354537568,0.12495239808676924,0.2697069756432752,1.4431525921661958,0.9363828294104699,2.0398377095245075
ssp585,2030s,五陈线（458）,Pattern 2,33,7.796105662427538,8.40049773151025,0.6043920690827111,0.4013579207602864,0.8318286917012241,7.755323688370444,5.15093472479087,10.645252012746884
ssp585,2030s,五雄线（476）,Pattern 1,33,12.082338797914728,12.254019731549665,0.1716809336349362,0.10988589403721435,0.25003747461204107,1.4215043357899968,0.908540976393979,2.0769021344029195
