line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year
江东线（445）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江体一回（465）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江体二回（466）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江山一回（458）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江山二回（476）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江恒线（456）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江星线（486）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江泉一回（456）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江泉一回（478）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江牌线（464）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江电线（474）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江盐线(463),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江科一回（457）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江科三回（482）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江移线（467）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江维二回（473）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江观三回（479）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江观二回（454）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江观线（462）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
江越线（475）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
