line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,downscaled_minus_raw_c
光山线（461）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
光岩一回（453）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
光岩三回（463）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
光岩二回（458）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
光明一回（452）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
光明三回（454）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
光明二回（453）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
光明四回（462）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
光高线（459）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
凉响线（459）,19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.55497017284226,26.724918315775607,305.93662137143554,1318.220561534834,365,-1.5592437706391848
凉甘线（458）,19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.55497017284226,26.724918315775607,305.93662137143554,1318.220561534834,365,-1.5592437706391848
凉青线（456）,18.93903,27.596231,476.25604,1124.8448,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.571984827300348,27.892395445864896,426.95394711847274,1161.383532545217,365,-0.3670448663031678
凉风线（454）,18.93903,27.596231,476.25604,1124.8448,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.571984827300348,27.892395445864896,426.95394711847274,1161.383532545217,365,-0.3670448663031678
凉高线（453）,19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.55497017284226,26.724918315775607,305.93662137143554,1318.220561534834,365,-1.5592437706391848
北山一回（453）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
北山三回（455）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
