line_name,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,scenario,model,year
未来城二回（477）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇杷坪一回(457),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇杷坪七回(468),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇杷坪三回(465),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇杷坪二回(458),Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇杷坪六回(467),Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇杷坪四回(464),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇海线(456),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇滨线(463),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇睿线(462),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
枇附线(455),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
桥高三回（473）,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
桥高二回（472）,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
武陵一回（456）,Pattern 2,18.018360294656972,27.20777342803428,351.4199005879499,1238.3653920614415,365,ssp126,ACCESS-CM2,2030
武黄线（455）,Pattern 2,17.81966295955672,27.000209309588804,330.248350930188,1269.4251608343964,365,ssp126,ACCESS-CM2,2030
江万线（484）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江东线（445）,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
江体一回（465）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江体二回（466）,Pattern 3,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江山一回（458）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江山二回（476）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江恒线（456）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江星线（486）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江泉一回（456）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江泉一回（478）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江牌线（464）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江电线（474）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江盐线(463),Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江科一回（457）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江科三回（482）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江移线（467）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江维二回（473）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江观三回（479）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江观二回（454）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江观线（462）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江越线（475）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江都线（481）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
江高线（461）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
油小线（466）,Pattern 1,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
油新一回（482）,Pattern 2,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
油沙一回（472）,Pattern 1,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
油沙二回487,Pattern 2,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
油源线（469）,Pattern 2,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
油玉线（478）,Pattern 1,16.27386859491962,25.207299815137684,176.60258676444266,1523.2198168359391,365,ssp126,ACCESS-CM2,2030
油盐线（479）,Pattern 1,16.27386859491962,25.207299815137684,176.60258676444266,1523.2198168359391,365,ssp126,ACCESS-CM2,2030
油茨一回（467）,Pattern 2,16.079876389486326,25.02905018101402,166.2202773728725,1560.2513313278055,365,ssp126,ACCESS-CM2,2030
油茨二回（481）,Pattern 1,16.057782596628837,25.032490990560078,165.8454836390031,1569.5532227228296,365,ssp126,ACCESS-CM2,2030
油铁一回（483）,Pattern 1,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
油铁二回（471）,Pattern 1,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,ssp126,ACCESS-CM2,2030
油高线（473）,Pattern 1,16.27386859491962,25.207299815137684,176.60258676444266,1523.2198168359391,365,ssp126,ACCESS-CM2,2030
清云一回（476）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清医一回（451）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清寰线（466）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清永线（468）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清沙线（455）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清泉一回（453）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清泉三回（477）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清泉二回（452）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清泉五回（467）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清泉六回（472）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清泉四回（478）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
清牌一回（474）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
